Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Kazakhstan;KAZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;998;1997;2996;30500;270370;660818;577200;1426800;1215700;
Kenya;KEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;5399;17723;17737;3282;8349;4155;48961;
Kiribati;KIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;322;402;504;685;765;846;920;
Korea, Dem. Rep.;PRK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Korea, Rep.;KOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;14000;278000;3870000;7806000;10399597;11173663;11917906;12188024;14041283;14709617;15474079;16347716;17193570;17859003;
Kosovo;KSV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuwait;KWT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;10500;13000;20000;25000;30000;35000;40000;45000;46000;;
Kyrgyz Republic;KGZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;139;1907;2292;2762;3115;18927;15312;15400;16000;
Lao PDR;LAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;25;50;314;741;4628;6107;8401;12025;41719;
Latvia;LVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;284;3235;10000;19533;49147;60770;109674;320657;395610;436966;434876;457422;
Lebanon;LBN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;35000;70000;80000;130000;190000;192000;195000;197000;200000;220000;
Lesotho;LSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;22;45;;110;140;400;400;;
Liberia;LBR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;110;150;186;63;
Libya;LBY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;9648;9800;46242;63000;72800;70000;
Liechtenstein;LIE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1437;1500;4741;8617;10000;14000;19600;22000;23000;26000;
Lithuania;LTU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2427;20000;66790;129051;234081;368715;507572;530678;564285;684057;732000;
